id_product;energy_100g;fat_100g;saturated_fat_100g;carbohydrates_100g;sugars_100g;proteins_100g;nutrition_score_fr_100g;energy_kcal_100g;ecoscore_score
1104247;315.0;0.5;0.0;17.0;15.5;0.5;-3.0;;89
1175493;252.0;0.6;0.2;1.5;1.3;12.0;1.0;;
1008773;456.0;3.2;1.0;15.0;2.5;4.3;1.0;109.0;35
1112162;657.0;8.5;3.2;8.8;0.7;8.8;-1.0;157.0;61
2611718;724.0;17.6;15.7;2.1;1.8;1.6;7.0;;72
1047673;551.0;0.2;0.02;31.0;29.1;0.5;5.0;130.0;73
1047672;548.0;0.1;0.0;31.1;29.7;0.5;6.0;129.0;73
1047674;547.0;0.4;0.03;29.9;28.9;0.4;4.0;129.0;73
1047679;546.0;0.2;0.0;30.3;29.2;0.6;5.0;129.0;73
1241782;;10.0;3.8;0.6;0.5;30.0;;;8
1241837;1179.0;19.0;7.8;1.0;1.0;27.0;20.0;;
1241781;1407.0;24.0;9.2;0.5;0.5;30.0;23.0;338.0;-4
1241771;1031.0;15.0;6.0;1.0;1.0;27.0;18.0;;22
1241685;1142.0;18.0;7.4;1.0;1.0;27.0;20.0;274.0;
1241772;890.0;10.0;3.2;0.6;0.5;30.0;15.0;212.0;8
1104968;2623.0;46.0;26.6;40.5;30.9;9.8;21.0;627.0;49
1022358;82.0;0.0;0.0;2.3;1.3;1.4;1.0;;84
1047676;2266.0;42.4;26.5;25.4;19.3;7.3;15.0;;29
1103752;1523.0;28.0;17.3;0.0;0.0;28.0;12.0;364.0;54
1190995;554.0;6.88;4.88;15.2;12.8;2.4;6.0;;92
1012785;464.0;4.9;3.2;14.0;13.0;2.8;5.0;111.0;
1212312;1662.0;4.8;2.0;76.0;37.0;8.4;9.0;;53
1077092;1200.0;30.0;20.0;3.3;3.3;2.0;13.0;291.0;62
1001843;1469.0;31.0;22.5;0.0;0.0;19.0;19.0;351.0;48
1077093;555.0;12.0;7.7;5.3;4.1;2.6;7.0;140.0;57
1047928;2021.0;18.0;11.0;72.0;29.0;6.5;24.0;;67
1013571;2536.0;;32.0;;39.0;4.0;;606.0;26
1133041;862.0;10.0;0.7;20.0;18.0;5.7;10.0;206.0;67
2034170;872.0;7.8;2.8;23.5;1.7;9.9;3.0;;87
1012586;298.0;0.2;0.0;15.0;15.0;0.5;-3.0;70.0;76
1005101;320.0;3.1;2.0;5.6;5.6;6.5;-2.0;76.0;84
1067829;;0.5;0.1;100.0;0.5;0.5;;;
1104356;2154.0;25.4;17.0;64.4;40.0;6.2;25.0;;40
1751657;1126.0;2.5;0.6;52.7;6.5;12.0;-2.0;;79
1046966;;26.0;;;;;;;39
1103799;1506.0;29.0;18.0;1.0;1.0;23.0;12.0;360.0;34
1242536;831.0;5.0;;2.0;;36.0;;;
1105070;988.0;12.0;4.8;0.0;0.0;32.0;16.0;;8
1241660;1632.0;31.0;13.0;1.8;1.3;26.0;24.0;390.0;29
1036984;455.0;2.5;1.0;0.4;0.4;21.0;2.0;108.0;15
1033834;196.0;0.4;0.0;10.2;10.1;0.5;14.0;47.0;18
1992099;1700.0;9.0;3.0;68.0;9.5;10.0;9.0;410.0;
1103499;1569.0;4.0;0.5;69.0;4.0;12.0;0.0;375.0;91
1136636;1966.0;28.7;0.2;38.7;30.3;9.8;5.0;470.0;
1103544;2018.0;21.0;13.2;60.9;1.9;12.1;22.0;;71
1354921;1700.0;0.0;0.0;100.0;100.0;0.0;15.0;400.0;59
1155924;1667.0;3.2;0.8;80.9;26.2;7.8;1.0;394.0;55
1080926;482.0;2.7;1.2;0.8;0.8;21.7;3.0;114.0;39
1027365;1510.0;0.6;0.2;86.5;72.2;2.1;15.0;361.0;42
2066916;2225.0;29.5;;59.0;;8.1;;;
1420871;1209.0;6.6;0.0;50.7;0.0;6.7;-1.0;289.0;79
1170739;710.0;12.7;;3.6;;10.5;;;
1214709;1448.0;19.0;9.8;34.0;5.4;7.3;22.0;346.0;58
1214710;1582.0;20.0;11.0;40.0;14.0;7.1;24.0;378.0;34
1181943;1117.0;0.0;0.0;63.7;34.8;0.1;10.0;267.0;73
1136993;1812.0;20.0;3.1;50.5;47.1;10.1;13.0;433.0;
1850067;230.0;0.0;0.0;12.4;12.4;0.5;7.0;55.0;17
1014668;204.0;0.0;0.0;12.0;10.7;0.0;15.0;48.0;8
1132969;774.0;9.8;2.5;1.3;0.6;23.0;3.0;185.0;50
1132883;715.0;7.6;2.2;3.1;2.3;22.0;2.0;171.0;
1133378;244.0;0.8;;7.8;;4.8;;58.0;79
1734860;1937.0;18.6;7.3;62.6;20.2;7.9;11.0;463.0;29
997695;2171.0;26.0;13.5;65.0;34.5;5.8;23.0;519.0;26
2596070;1255.0;18.0;12.0;32.0;30.0;3.2;19.0;;79
1411760;2158.0;27.0;;63.0;;7.0;;516.0;74
1354953;2197.0;34.2;20.9;56.7;45.0;4.5;20.0;525.0;45
1105398;1138.0;4.4;0.4;47.8;3.6;8.1;1.0;272.0;
2034418;1921.0;23.4;14.1;48.6;11.1;12.8;5.0;460.0;65
1138709;840.0;17.5;;3.0;;8.3;;;41
1059942;160.0;0.0;0.0;8.7;8.7;0.7;2.0;38.0;57
1134026;590.0;6.5;4.2;14.0;1.1;5.9;3.0;;
1010852;298.0;2.3;0.43;9.4;0.62;2.8;;71.0;
1010969;206.0;0.2;;11.0;;0.7;;;
1067726;2297.0;35.9;6.9;42.5;40.4;11.5;23.0;549.0;58
1411831;1904.0;26.0;17.0;49.0;37.0;5.7;20.0;455.0;41
1103774;1100.0;4.9;1.2;42.0;5.9;9.0;-1.0;261.0;74
1025188;1105.0;17.0;6.2;0.5;0.5;28.0;19.0;;8
1403862;184.0;0.5;0.1;10.9;10.8;0.2;15.0;44.0;34
1403657;222.0;0.5;0.1;11.6;10.9;0.5;6.0;53.0;30
1403656;245.0;0.5;0.1;13.0;12.3;0.7;7.0;53.0;36
1136363;197.0;0.0;0.0;11.5;8.8;0.6;3.0;47.0;74
1046901;360.0;3.8;2.6;3.7;3.7;9.1;-2.0;;69
1826595;632.0;11.0;3.7;0.0;0.0;13.0;0.0;151.0;64
1005109;489.0;10.0;7.0;3.9;3.9;3.1;6.0;118.0;
1005026;303.0;3.0;2.1;4.4;4.4;6.9;-2.0;;74
997751;2195.0;30.0;18.0;57.0;36.0;5.4;21.0;525.0;64
1340569;188.0;0.1;0.05;6.5;6.5;5.0;-2.0;45.0;82
1176864;322.0;1.3;0.9;12.3;12.1;2.8;19.0;;20
1074305;502.0;4.0;1.3;0.8;0.8;20.0;4.0;;41
1829237;172.0;0.0;0.0;9.4;9.4;0.8;14.0;;29
1403618;854.0;0.16;0.03;49.0;48.0;0.59;;204.0;88
1077811;25.0;0.0;0.0;1.2;1.2;0.1;2.0;6.0;
1299863;391.0;0.5;0.2;0.5;0.5;23.0;-1.0;;21
1304912;1082.0;1.1;0.2;51.0;2.6;8.9;0.0;255.0;109
1829331;1863.0;14.3;1.2;66.2;3.8;10.1;11.0;;67
2551940;2100.0;24.0;3.5;64.0;3.5;7.0;16.0;;92
799770;2155.0;;16.6;;61.6;6.0;;515.0;23
1826951;2259.0;32.8;3.3;53.2;1.4;6.0;8.0;540.0;
1006927;519.0;3.0;0.65;0.3;0.3;24.0;11.0;124.0;24
1725063;2368.0;36.0;3.3;53.0;4.3;6.1;17.0;566.0;
1159323;1356.0;10.0;0.8;30.2;4.7;3.9;12.0;324.0;73
1827304;66.0;0.0;0.0;3.0;0.0;1.0;-4.0;16.0;
1091694;1180.0;13.0;4.0;2.0;0.0;13.0;5.0;196.0;58
1208757;1582.0;0.7;0.16;85.6;0.01;5.8;;378.0;
1082052;853.0;12.0;3.3;3.4;2.1;22.0;5.0;210.0;26
1129153;711.0;8.3;2.1;3.7;3.2;20.0;5.0;170.0;50
2066983;2315.0;35.5;;50.5;;7.6;;555.0;
2067238;1320.0;14.5;9.4;40.5;36.0;4.2;20.0;315.0;
1253156;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;79
1000838;313.0;0.6;0.2;16.0;15.1;0.4;-3.0;;79
2034063;238.0;0.1;0.01;12.6;10.7;0.5;;;79
1010837;226.0;0.3;0.06;11.4;11.2;0.4;;54.0;79
2034065;;0.1;0.01;13.3;11.4;0.3;;;79
1285720;224.0;0.5;0.3;11.0;9.8;0.0;;;79
1010986;191.0;0.2;0.03;9.5;7.9;0.5;;;79
1003853;1626.0;0.1;0.0;95.0;64.0;0.1;;;
1223364;586.0;9.8;2.6;0.3;0.3;12.7;-1.0;140.0;68
1304740;314.0;3.2;2.1;4.3;4.3;7.2;-2.0;;79
1045030;880.0;20.0;;5.5;;3.0;;;46
1073278;193.0;1.55;;4.8;;3.15;;;40
1019206;1700.0;0.0;0.0;100.0;100.0;0.0;15.0;400.0;100
996336;1300.0;3.0;1.5;60.0;10.0;11.0;2.0;;
1040292;1700.0;0.0;0.0;100.0;98.0;0.0;15.0;400.0;79
1416860;750.0;11.9;1.8;2.5;0.5;15.7;2.0;180.0;
2571105;1519.0;2.2;1.2;82.0;64.0;2.3;15.0;;64
1848027;1523.0;2.3;1.3;81.0;60.0;2.6;15.0;364.0;74
1207579;1473.0;1.06;0.52;79.8;0.24;5.91;1.0;352.0;65
1025124;482.0;3.0;1.1;0.8;0.8;21.0;3.0;;39
2109537;2380.0;35.9;16.8;52.6;42.6;8.8;26.0;;82
1025164;514.0;2.4;0.7;0.8;0.8;23.0;3.0;122.0;15
1872121;2063.0;33.9;19.2;40.4;28.6;6.4;17.0;;49
1034583;195.0;0.1;0.0;10.9;9.8;0.2;12.0;;9
1850063;210.0;0.1;0.0;11.3;11.3;0.5;5.0;;9
1340568;382.0;2.8;2.0;12.8;12.8;3.4;2.0;;82
1025620;574.0;6.0;2.0;0.5;0.5;19.0;4.0;;26
1006670;791.0;11.7;2.8;0.6;;22.0;;;24
1004150;1054.0;3.5;0.4;43.0;7.0;9.5;-1.0;252.0;75
1000865;312.0;0.5;0.2;16.2;15.2;0.5;-3.0;;79
1045230;721.0;2.9;0.5;27.9;0.2;5.8;-3.0;171.0;
1045344;819.0;7.9;1.4;18.0;1.2;9.0;-6.0;196.0;79
1037009;455.0;2.5;1.0;0.4;0.4;21.0;4.0;;16
1016775;2076.0;22.8;13.1;64.1;33.6;6.5;21.0;;64
1299242;840.0;11.0;3.5;3.0;2.5;22.0;5.0;;53
997687;1820.0;12.0;7.5;73.0;23.0;8.0;;435.0;
1847637;1966.0;17.0;6.1;71.0;33.0;6.0;17.0;470.0;50
1299718;870.0;12.0;3.5;4.5;3.0;20.0;11.0;;53
2129820;1027.0;11.0;;25.7;;10.8;;245.0;
1009732;421.0;2.88;0.73;0.1;;18.5;;;23
1007737;145.0;0.9;0.5;5.8;1.7;0.7;;;
1052331;1000.0;;;;;;;;119
2265377;360.0;0.0;0.0;13.3;13.3;0.0;;;84
780950;167.0;0.01;0.01;9.5;9.5;0.01;;40.0;
963030;285.0;1.6;0.3;9.9;9.9;3.0;1.0;68.0;79
1134344;1255.0;14.0;4.1;32.0;3.0;10.0;9.0;300.0;80
1133526;1702.0;17.7;4.6;52.4;45.5;7.5;15.0;406.0;
1075116;211.0;0.5;0.2;10.9;9.7;0.4;-4.0;;79
1081346;2004.0;21.1;14.1;58.7;2.8;11.9;20.0;479.0;71
1082207;1109.0;10.2;3.8;1.1;0.9;41.1;14.0;265.0;
997956;100.0;0.2;0.0;2.3;0.7;1.8;-2.0;24.0;101
1090930;1469.0;1.0;0.2;76.0;1.0;8.0;-4.0;351.0;79
2596248;1381.0;22.0;15.0;30.0;27.0;4.0;17.0;330.0;91
1110012;761.0;10.0;1.8;6.6;1.9;14.0;-3.0;182.0;92
1208775;1481.0;1.3;;76.6;;7.7;;;32
2580925;1598.0;13.0;7.5;59.0;2.5;5.8;3.0;381.0;73
1176081;1255.0;15.0;0.22;40.0;0.5;19.0;-2.0;300.0;
1592518;197.0;0.1;0.0;10.3;9.9;0.2;;47.0;79
1090012;191.0;1.5;1.0;4.8;4.8;3.2;0.0;45.0;54
1074452;1385.0;1.8;0.2;45.0;1.1;25.0;-6.0;328.0;103
2143178;1686.0;42.0;28.2;2.5;2.5;3.6;13.0;403.0;37
1008914;1495.0;0.8;0.3;77.0;0.4;9.0;-1.0;352.0;12
1059997;439.0;0.7;0.2;0.3;0.0;24.0;-4.0;;50
1059876;1671.0;30.0;20.0;0.0;0.0;32.0;16.0;402.0;33
1060717;1201.0;1.6;0.2;60.0;2.0;6.0;11.0;283.0;
2567205;109.0;0.4;0.3;3.3;2.3;1.0;0.0;26.0;112
1014416;197.0;4.0;1.6;0.5;0.5;0.5;-1.0;47.0;57
1232220;536.0;3.4;0.8;13.6;5.6;9.8;8.0;128.0;
817567;1521.0;4.0;2.0;76.0;73.0;1.0;9.0;;37
1243828;1222.0;30.0;21.0;3.1;3.1;2.3;13.0;292.0;102
1135949;599.0;10.9;3.5;0.2;0.2;11.1;3.0;;27
792261;1218.0;3.7;1.6;51.0;2.4;12.0;-1.0;291.0;60
2569033;355.0;4.1;3.1;2.0;;10.0;;;57
1844456;425.0;2.0;0.7;1.5;1.5;19.0;4.0;;
1829299;96.0;0.1;0.0;1.0;0.1;3.0;-5.0;23.0;
1135785;559.0;5.0;1.8;0.0;0.0;22.0;-3.0;133.0;29
1092552;126.0;;;7.5;7.5;;;30.0;
1849694;;19.0;;;;;;;
1829041;1130.0;4.1;2.7;47.2;4.7;8.4;8.0;;
1828961;;30.3;19.1;1.0;0.5;23.8;;;58
2033511;1061.0;0.5;0.1;23.9;19.4;38.2;17.0;250.0;64
1043068;2318.0;38.0;23.0;41.0;37.0;6.9;19.0;;47
1043054;2397.0;42.0;26.0;34.0;29.0;9.1;23.0;573.0;41
1102209;1464.0;14.0;6.8;47.0;9.7;8.5;13.0;;48
1850072;215.0;0.0;0.0;11.2;10.7;0.4;5.0;50.0;18
1093454;209.0;0.0;;11.7;11.5;0.6;;;78
1004078;1038.0;3.4;0.3;41.0;3.6;9.5;-3.0;246.0;97
1853311;368.0;0.0;0.0;22.1;18.1;0.0;;88.0;
1067010;1244.0;7.5;4.2;48.2;9.4;7.5;11.0;;79
1118930;157.0;;;8.3;7.0;0.6;;37.0;9
2595985;;41.0;;3.0;;9.0;;;37
1321179;243.0;0.41;0.21;11.5;9.5;0.41;-4.0;58.0;90
1321817;1218.0;30.0;20.0;3.3;3.3;2.0;13.0;291.0;79
1176827;602.0;9.8;6.7;10.1;9.1;2.9;8.0;;
1067695;842.0;14.0;1.1;18.0;1.0;0.6;2.0;202.0;
1321655;2470.0;45.0;9.0;18.0;2.0;25.0;0.0;;
1215274;1208.0;23.0;16.0;1.0;1.0;20.0;14.0;291.0;36
1321159;1259.0;23.0;4.0;0.0;0.0;24.0;5.0;303.0;18
1322030;792.0;10.5;2.8;0.3;0.2;23.1;14.0;;23
1040897;827.0;16.5;3.4;0.8;0.0;11.3;5.0;;18
1048802;1898.0;21.0;2.0;59.0;29.0;6.0;13.0;;86
2170792;110.0;0.2;0.1;3.9;2.8;1.2;-4.0;26.0;96
1001825;427.0;1.1;0.2;19.1;4.0;2.5;-1.0;102.0;100
1297924;510.0;1.5;0.3;22.0;3.5;3.0;-1.0;;71
1304719;584.0;9.8;2.6;0.5;0.5;13.0;-1.0;;75
1176004;1356.0;1.5;0.35;60.0;0.9;11.0;;324.0;104
2033668;483.0;0.2;0.1;5.1;5.1;8.0;;117.0;-7
1071796;800.0;5.0;2.1;28.0;1.4;8.0;2.0;190.0;77
1339459;1464.0;0.6;0.1;78.0;0.3;7.4;-1.0;350.0;17
1115095;933.0;15.0;3.3;0.0;0.0;22.0;4.0;223.0;29
1094477;862.0;17.0;3.1;0.6;0.6;13.0;4.0;208.0;26
1040920;841.0;17.0;3.4;0.8;0.4;11.4;11.0;201.0;16
1095172;2498.0;52.4;4.1;5.7;4.3;22.8;-4.0;604.0;24
1734864;1858.0;14.8;4.7;66.4;20.9;7.9;8.0;444.0;19
1760218;201.0;0.0;0.0;11.0;10.0;0.0;4.0;51.0;44
1033853;192.0;0.0;0.0;10.1;9.5;0.6;4.0;46.0;13
1070958;773.0;2.7;0.3;33.0;1.0;5.0;1.0;183.0;77
1015630;21.0;0.0;0.0;1.0;1.0;0.0;2.0;5.0;
1214823;1728.0;26.1;15.8;36.1;1.3;5.5;20.0;413.0;56
1045296;668.0;6.3;1.0;16.9;2.2;6.8;;;
1109969;891.0;10.0;1.0;15.0;2.6;14.0;-2.0;213.0;76
1110040;336.0;4.5;0.6;4.6;1.0;4.4;1.0;;
1761443;1606.0;1.5;0.5;76.0;17.0;14.0;9.0;384.0;39
1109970;996.0;12.0;1.5;17.0;2.7;14.0;-1.0;238.0;105
1110030;933.0;8.6;1.5;27.0;4.5;7.1;-1.0;223.0;76
1761534;2018.0;22.0;11.0;60.0;19.0;8.0;18.0;482.0;65
1045229;791.0;5.4;0.6;25.0;3.8;7.5;-3.0;189.0;90
1045418;837.0;10.8;3.2;7.1;2.5;17.7;1.0;200.0;
1209448;1456.0;0.7;0.3;78.4;0.4;7.2;-1.0;348.0;56
1109971;920.0;10.0;1.2;15.0;2.5;15.0;-3.0;220.0;89
1109955;744.0;11.7;3.8;2.0;0.42;15.0;2.0;;79
1859109;461.0;6.4;1.0;2.4;1.0;10.8;-7.0;110.0;79
1723458;2092.0;23.7;12.0;63.5;27.2;6.8;22.0;500.0;40
1110027;828.0;7.0;0.8;18.0;3.3;14.0;-1.0;198.0;105
1256531;769.0;10.0;1.8;10.5;0.6;12.9;1.0;;76
1504582;;17.9;;6.4;;7.0;;;
1110041;334.0;4.4;0.6;4.8;2.4;4.3;-1.0;;
1383281;324.0;3.3;0.4;9.4;7.5;1.2;-2.0;77.0;
1383288;699.0;9.6;1.1;13.0;1.0;5.7;4.0;167.0;79
1109973;969.0;10.0;2.8;24.0;3.0;9.0;-2.0;232.0;79
1110028;238.0;1.2;0.2;11.0;6.3;0.5;1.0;57.0;79
1504577;912.0;17.0;11.3;10.5;2.0;3.6;20.0;218.0;
1542148;845.0;6.9;1.8;28.0;1.0;6.0;3.0;202.0;
1109954;490.0;5.3;0.9;3.6;0.5;12.0;-3.0;117.0;111
1216810;335.0;2.4;0.4;10.5;10.0;4.0;0.0;;119
1216811;337.0;2.2;0.3;10.0;9.4;3.7;1.0;75.0;118
1848509;;21.5;14.0;3.3;3.2;5.5;;;61
1041060;837.0;5.0;2.0;12.0;1.0;2.0;;200.0;
1094873;1843.0;23.8;17.5;50.3;31.6;5.5;22.0;441.0;
1330946;1556.0;4.4;0.7;67.0;5.7;13.0;;372.0;79
1095167;1868.0;22.8;2.4;54.0;29.8;5.3;13.0;446.0;33
1176858;402.0;2.6;1.7;13.7;13.2;3.2;3.0;;76
1130007;339.0;4.0;0.3;10.0;7.7;1.1;2.0;81.0;79
1392864;548.0;0.0;0.0;2.9;0.0;2.4;-6.0;131.0;
1110000;678.0;8.6;1.5;5.8;1.5;13.0;-3.0;162.0;
1784553;106.0;2.0;1.9;1.9;1.6;0.2;1.0;;69
1823965;178.0;1.8;0.3;3.0;2.9;3.2;-1.0;42.0;79
1592548;276.0;3.0;1.1;8.3;8.3;1.4;;66.0;57
2324255;1155.0;7.8;2.9;40.3;4.1;7.5;11.0;;
1045446;170.0;2.1;0.4;1.3;0.7;3.8;-2.0;41.0;79
1823925;774.0;11.0;3.9;5.0;2.9;15.0;13.0;185.0;
1254712;874.0;17.0;12.0;2.5;2.5;11.0;12.0;209.0;62
1003063;727.0;8.6;5.0;19.0;17.0;4.8;7.0;;64
1133482;840.0;7.7;2.4;25.0;4.4;11.0;4.0;200.0;73
1133480;1172.0;13.3;4.3;29.2;3.0;10.8;7.0;280.0;59
1132782;517.0;2.9;0.3;20.8;0.6;2.3;-2.0;123.0;105
1045416;2007.0;21.0;12.0;61.6;20.8;8.1;16.0;479.0;78
1320906;1071.0;17.0;9.3;19.0;2.6;5.7;15.0;257.0;45
1010895;262.0;1.8;0.72;8.3;1.47;2.3;;;
2033765;1779.0;9.8;4.3;72.1;24.6;10.4;;422.0;47
1010845;253.0;1.65;0.261;8.7;1.04;2.17;;;
1176803;331.0;1.3;0.9;12.3;12.0;2.8;18.0;;32
1362700;590.0;2.6;0.5;24.9;0.8;3.7;2.0;141.0;52
1506114;25.0;0.4;0.2;0.6;0.2;0.1;;6.0;
1232283;1591.0;34.6;16.8;9.7;3.8;6.6;;;
998211;368.0;2.0;0.7;11.0;1.2;5.0;-4.0;88.0;80
1232360;267.0;0.2;;13.9;11.0;0.3;;;79
1278880;71.0;0.0;0.0;3.0;0.0;1.0;3.0;17.0;35
1138743;1075.0;24.5;;3.1;;6.0;;257.0;39
840252;1514.0;30.3;20.6;0.0;0.0;23.1;18.0;;34
940350;1288.0;27.0;10.8;1.0;0.9;16.0;21.0;308.0;6
1007012;791.0;11.0;2.8;0.6;;22.0;;;9
1151180;1628.0;36.0;14.0;1.6;0.6;14.3;20.0;389.0;
997773;1636.0;14.0;6.3;61.0;41.0;4.0;18.0;391.0;58
799126;2108.0;24.3;9.0;62.5;60.3;7.5;24.0;503.0;32
1319837;1192.0;28.0;8.7;2.0;2.0;16.4;21.0;285.0;44
1037004;452.0;2.9;1.1;0.5;0.5;20.0;3.0;108.0;40
1053007;1561.0;5.5;0.8;64.0;2.6;9.0;-1.0;373.0;122
1059861;1577.0;6.3;;68.0;;12.0;;377.0;47
1382005;1109.0;21.0;15.0;3.0;0.5;19.0;13.0;265.0;28
1330935;1523.0;4.3;0.5;73.0;2.7;13.0;;;89
1059352;63.0;0.2;0.0;1.1;0.8;1.2;5.0;;
1091761;1423.0;0.8;0.2;74.4;3.8;8.8;-3.0;;115
840984;439.0;1.0;0.1;1.0;0.5;23.0;-4.0;;48
1109977;791.0;5.4;0.6;25.0;3.8;7.5;-3.0;189.0;89
1110033;653.0;5.6;1.0;16.0;1.5;8.2;-4.0;156.0;
1206041;293.0;2.0;0.3;9.1;7.8;3.6;-1.0;70.0;119
1320455;565.0;10.4;6.8;3.7;3.7;6.7;3.0;135.0;63
1059536;795.0;10.0;2.2;0.0;0.0;25.0;3.0;190.0;31
1060042;1523.0;1.0;0.1;80.0;0.0;8.0;-1.0;364.0;17
1277236;2425.0;39.9;13.9;47.8;43.1;6.5;24.0;;32
2033260;407.0;3.2;1.9;13.1;9.2;3.4;;97.0;
1115347;577.0;4.2;1.2;0.0;0.0;25.0;1.0;138.0;-6
1058847;925.0;13.0;2.4;0.0;0.0;26.0;3.0;221.0;5
1151173;1707.0;38.9;15.5;1.4;0.3;13.2;21.0;408.0;24
994902;1721.0;38.0;15.0;0.5;0.5;16.0;19.0;406.0;48
1230756;710.0;10.1;3.4;0.5;0.5;19.7;12.0;170.0;52
946906;451.0;2.1;0.7;0.5;0.5;21.0;3.0;107.0;20
1254708;330.0;0.2;0.12;3.0;2.4;16.0;0.0;;38
1124795;;5.0;;;;;;;12
444778;;22.0;;;;;;;46
1273085;1199.0;30.5;3.4;1.2;0.8;1.5;16.0;287.0;99
907911;;34.0;;;;;;;65
1092247;255.0;3.5;2.3;3.6;3.6;3.7;0.0;61.0;70
1542163;933.0;12.0;1.5;20.0;2.8;7.8;-1.0;223.0;
1188640;1439.0;3.45;0.47;58.38;1.03;14.56;-6.0;344.0;64
1251480;997.0;8.8;3.6;29.4;1.9;7.8;6.0;238.0;76
1227313;1597.0;13.6;;58.2;;8.1;;;35
1859119;218.0;0.9;0.7;11.0;7.7;0.0;1.0;52.0;79
2034292;1029.0;11.5;6.2;31.2;8.6;4.1;;246.0;
1040614;853.0;11.1;;0.0;0.0;26.0;;;16
2565619;170.0;;;;;;;;42
304982;293.0;0.5;;15.0;2.0;2.0;;;25
1167041;502.0;4.0;0.4;13.0;3.0;7.5;4.0;;9
1305034;197.0;1.5;1.0;4.8;4.8;3.3;-1.0;47.0;67
1069832;1364.0;18.0;8.0;30.0;2.0;10.0;19.0;326.0;6
1091892;88.0;0.4;0.1;2.9;2.9;1.0;0.0;;77
1319788;628.0;6.8;0.7;6.9;1.3;15.0;-2.0;150.0;20
